; 				LaTeX热键触发表

; 每行用Tab键，最多分出3个字段
; 第1个字段代表LaTex“键”
; 第2个字段代表LaTex对应“Unicode”或“文字描述”
; 第3个字段（如果存在的话）代表LaTex对应“LaTex块”
; 如果第2个字段以:开头，表明只适用于unicode模式. 【这种情况下禁止“第1个字段”在“第2个字段”中完整出现】
; “第1个字段”在“第2个字段”中完整出现，表明只适用于latex助手模式. 【这种情况下禁止如果第2个字段以:开头】



; 下标和上标 https://katex.org/docs/supported.html#line-breaks

\swarrow	↙
\to	→
\twoheadleftarrow	↞
\twoheadrightarrow	↠
\Uarr	⇑
\uArr	⇑
\uarr	↑
\uparrow	↑
\Uparrow	⇑
\updownarrow	↕
\Updownarrow	⇕
\upharpoonleft	↿
\upharpoonright	↾
\upuparrows	⇈


; 其它常用符号 https://katex.org/docs/supported.html#symbols-and-punctuation

\backprime	‵
\prime	′
\blacklozenge	⧫
\P	¶
\S	§
\sect	§
\circledR	®
\circledS	Ⓢ
\dots	…
\cdots	⋯
\ddots	⋱
\ldots	…
\vdots	⋮
\dotsb	⋯
\dotsc	…
\dotsi	⋯
\dotsm	⋯
\dotso	…
\sdot	⋅
\Box	□
\square	□
\blacksquare	■
\triangle	△
\triangledown	▽
\triangleleft	◃
\triangleright	▹
\bigtriangledown	▽
\bigtriangleup	△
\blacktriangle	▲
\blacktriangledown	▼
\blacktriangleleft	◀
\blacktriangleright	▶
\diamond	⋄
\Diamond	◊
\lozenge	◊
\star	⋆
\bigstar	★
\clubsuit	♣
\clubs	♣
\diamondsuit	♢
\diamonds	♢
\spadesuit	♠
\maltese	✠
\nabla	∇
\infty	∞
\infin	∞
\checkmark	✓
\dagger	†
\ddagger	‡
\Dagger	‡
\angle	∠
\measuredangle	∡
\sphericalangle	∢
\top	⊤
\bot	⊥
\yen	¥
\surd	√
\mho	℧
\flat	♭
\natural	♮
\sharp	♯
\heartsuit	♡
\hearts	♡
\spades	♠


; 重音符  https://katex.org/docs/supported.html#accents

\hat	̂
\dot	̇
\ddot	̈
\tilde	̃
\bar	̄
\mathring	ͦ
